"GEOID","org_name","budg_NIA_cuts","budg_NIAID_cuts","budg_NCI_cuts","budg_NIH_cuts","budg_NIA_cuts_econ_loss","budg_NIA_cuts_job_loss","budg_NIAID_cuts_econ_loss","budg_NIAID_cuts_job_loss","budg_NCI_cuts_econ_loss","budg_NCI_cuts_job_loss","budg_NIH_cuts_econ_loss","budg_NIH_cuts_job_loss","state","rep_name","pol_party"
"3914","Kent State University",357362.831961899,20534.3558799668,146051.636404563,1300327.04924259,914848.849822463,3.94437400801759,52567.9510527151,0.226646904379132,373892.18919568,1.61203747826806,3328837.24606102,14.3522934010706,"Ohio","David P. Joyce","Republican"
"3914","Ohio State University",61530.8643703967,64429.6739566832,161689.485172221,822809.040102308,157519.012788215,0.679143773237514,164939.965329109,0.711139236010094,413925.082040885,1.78463943544932,2106391.14266191,9.08171276101669,"Ohio","David P. Joyce","Republican"
"3915","Ohio State University",1719418.32166224,1800422.64956616,4518250.57343104,22992573.7799629,4401710.90345535,18.9779919183001,4609081.98288938,19.8720730508204,11566721.4679835,49.8699599667713,58860988.8767049,253.779358914363,"Ohio","Mike Carey","Republican"
"3915","Battelle Memorial Institute",0,1170891.13082394,38530.2047652236,5775485.13431827,0,0,2997481.29490929,12.9236510615426,98637.3241989724,0.425275167440319,14785241.9438548,63.7466222282617,"Ohio","Mike Carey","Republican"
"3915","The Research Institute at Nationwide Children's Hospital",0,729487.734723987,1377580.05675224,5379010.63800005,0,0,1867488.60089341,8.05168361862461,3526604.94528574,15.2049695263112,13770267.2332801,59.3705552222609,"Ohio","Mike Carey","Republican"
"3915","Cincinnati Children's Hospital Medical Center",12599.5512497501,162524.494662535,45364.80197833,1139692.26469161,32254.8511993603,0.139066903486758,416062.70633609,1.7938558100565,116133.893064525,0.500711685151597,2917612.19761051,12.5792951698669,"Ohio","Mike Carey","Republican"
"3915","University of Cincinnati",40331.4169758971,28161.2938597442,42540.0522273169,610755.063296528,103248.427458296,0.44515595523154,72092.9122809452,0.310828842839378,108902.533701931,0.469533654028768,1563532.96203911,6.74117782116973,"Ohio","Mike Carey","Republican"
"4001","Laureate Institute for Brain Research",0,0,0,2468074.96995597,0,0,0,0,0,0,6318271.92308727,27.2412514415349,"Oklahoma","Kevin Hern","Republican"
"4001","OSU Center for Health Sciences",0,0,15655.553060769,1135157.1880184,0,0,0,0,40078.2158355687,0.172797367412348,2906002.4013271,12.5292394926831,"Oklahoma","Kevin Hern","Republican"
"4001","University of Oklahoma Health Sciences Center",101880.525416487,50382.6414511686,257522.448081134,1079117.12740544,260814.145066207,1.12450109646213,128979.562114992,0.556095832082633,659257.467087702,2.84239086957028,2762539.84615793,11.9107001855146,"Oklahoma","Kevin Hern","Republican"
"4001","Oklahoma Medical Research Foundation",64522.9314392264,96670.0614836552,3432.34671757123,550869.345181484,165178.70448442,0.712168560711203,247475.357398157,1.06699086689084,8786.80759698236,0.0378843516125255,1410225.5236646,6.08019226571154,"Oklahoma","Kevin Hern","Republican"
"4001","Oklahoma State University Stillwater",10440.1378313028,31700.8892815104,7445.81492057032,173436.180772314,26726.7528481352,0.115232488157309,81154.2765606667,0.349896946547492,19061.28619666,0.0821828019438192,443996.622777124,1.91429298825651,"Oklahoma","Kevin Hern","Republican"
"4002","University of Oklahoma Health Sciences Center",94562.9661001982,46763.9128882455,239025.922062976,1001609.63952459,242081.193216507,1.04373390920082,119715.616993909,0.516154300370163,611906.360481218,2.63823640822322,2564120.67718296,11.0552152461728,"Oklahoma","Josh Brecheen","Republican"
"4002","Cherokee Nation",0,0,66015.5251415569,769844.506424574,0,0,0,0,168999.744362386,0.728642987477081,1970801.93644691,8.4971194253351,"Oklahoma","Josh Brecheen","Republican"
"4002","Oklahoma Medical Research Foundation",59888.5778555828,89726.7432574864,3185.81873199969,511303.205407352,153314.759310292,0.661017119698346,229700.462739165,0.990354346550034,8155.6959539192,0.0351633115614409,1308936.20584282,5.6434830185134,"Oklahoma","Josh Brecheen","Republican"
"4002","Laureate Institute for Brain Research",0,0,0,463441.392272587,0,0,0,0,0,0,1186409.96421782,5.11521070023972,"Oklahoma","Josh Brecheen","Republican"
"4002","OSU Center for Health Sciences",0,0,2939.71268928253,213153.503871427,0,0,0,0,7525.66448456328,0.0324469286830639,545672.969910854,2.35267091368353,"Oklahoma","Josh Brecheen","Republican"
"4003","University of Oklahoma Health Sciences Center",442688.784260003,218921.429788936,1118980.28592467,4688953.5291693,1133283.28770561,4.88615484909249,560438.860259677,2.41633410144229,2864589.53196716,12.3506877619437,12003721.0346734,51.7540851232945,"Oklahoma","Frank D. Lucas","Republican"
"4003","Oklahoma Medical Research Foundation",280363.474363279,420048.402946434,14914.1495820606,2393624.097516,717730.494369993,3.09449753071669,1075323.91154287,4.63626279654023,38180.2229300752,0.164614164378007,6127677.68964096,26.419503739027,"Oklahoma","Frank D. Lucas","Republican"
"4003","Oklahoma State University Stillwater",139997.306846932,425093.92076775,99844.8538710976,2325697.09426064,358393.105528145,1.54521312495748,1088240.43716544,4.69195244182911,255602.82591001,1.10203247573732,5953784.56130725,25.6697629094839,"Oklahoma","Frank D. Lucas","Republican"
"4003","University of Oklahoma",0,101025.393199842,42198.2824475728,495996.871226731,0,0,258625.006591597,1.1150626182907,108027.603065786,0.465761387538301,1269751.99034043,5.47454013665682,"Oklahoma","Frank D. Lucas","Republican"
"4003","Laureate Institute for Brain Research",0,0,0,239818.180923704,0,0,0,0,0,0,613934.543164683,2.64698092493953,"Oklahoma","Frank D. Lucas","Republican"
"4004","University of Oklahoma Health Sciences Center",515848.674505905,255100.949906229,1303905.85399033,5463862.08289648,1320572.60673512,5.69365340156121,653058.431759946,2.81566370712555,3337998.98621525,14.3917942757119,13987486.932215,60.307098712122,"Oklahoma","Tom Cole","Republican"
"4004","University of Oklahoma",0,681356.654740334,284602.510849825,3345206.17279067,0,0,1744273.03613526,7.52043928125721,728582.427775551,3.14128567945834,8563727.80234413,36.9225422995929,"Oklahoma","Tom Cole","Republican"
"4004","Oklahoma Medical Research Foundation",326697.065234943,489466.685383603,17378.9004077641,2789200.58937798,836344.487001453,3.60590217380447,1253034.71458202,5.40246354389603,44489.9850438762,0.191818725747113,7140353.50880764,30.7856590667012,"Oklahoma","Tom Cole","Republican"
"4004","Oklahoma State University Stillwater",36970.3982536736,112258.527681411,26366.9644390393,614168.584587397,94644.2195294044,0.408058882725096,287381.830864413,1.23904776647866,67499.4289639406,0.291024023490946,1572271.57654374,6.7788543880964,"Oklahoma","Tom Cole","Republican"
"4004","Immuno-Mycologics, Inc.",0,248463.2409465,0,270494.630867014,0,0,636065.89682304,2.74240033345626,0,0,692466.255019555,2.98557067460757,"Oklahoma","Tom Cole","Republican"
"4005","University of Oklahoma Health Sciences Center",1657733.39202072,819793.446984847,4190237.13937318,17558689.344097,4243797.48357304,18.2971476575003,2098671.22428121,9.04842830598266,10727007.0767953,46.249528439308,44950244.7208882,193.803136950447,"Oklahoma","Stephanie I. Bice","Republican"
"4005","Oklahoma Medical Research Foundation",1049875.01350832,1572952.12480537,55848.9048171885,8963386.32348821,2687680.0345813,11.5879418467079,4026757.43950175,17.3613787502104,142973.196332002,0.616429434834602,22946268.9881298,98.9329188043726,"Oklahoma","Stephanie I. Bice","Republican"
"4005","Oklahoma State University Stillwater",46575.9240246345,141425.164547347,33217.5413433883,773739.82118836,119234.365503064,0.514079382888248,362048.421241208,1.56097303140814,85036.9058390741,0.366636916228265,1980773.9422422,8.54011376311492,"Oklahoma","Stephanie I. Bice","Republican"
"4005","University of Oklahoma",0,131033.803563104,54732.7882406524,643326.935275307,0,0,335446.537121545,1.44627891520933,140115.93789607,0.604110355118791,1646916.95430479,7.10068819475909,"Oklahoma","Stephanie I. Bice","Republican"
"4005","Coare Holdings, Inc.",0,0,241944.777195738,257523.632567946,0,0,0,0,619378.62962109,2.67045312269134,659260.499373941,2.84240394328298,"Oklahoma","Stephanie I. Bice","Republican"
"4101","Oregon Health & Science University",3714696.21867319,6484691.93595146,9453519.51803897,58873327.5755458,9509622.31980338,41.0007698119482,16600811.3560357,71.5744560836008,24201009.9661798,104.342738909164,150715718.593397,649.811346579115,"Oregon","Suzanne Bonamici","Democrat"
"4101","Portland State University",0,235251.712245016,0,1442257.43424873,0,0,602244.383347242,2.59657876009838,0,0,3692179.03167675,15.9188427774921,"Oregon","Suzanne Bonamici","Democrat"
"4101","Aronora, Inc.",0,0,0,995268.814268882,0,0,0,0,0,0,2547888.16452834,10.9852287112254,"Oregon","Suzanne Bonamici","Democrat"
"4101","Ochin, Inc.",0,0,0,588109.11415393,0,0,0,0,0,0,1505559.33223406,6.4912243139889,"Oregon","Suzanne Bonamici","Democrat"
"4101","Madorra, Inc.",0,0,414088.878197156,481005.15030988,0,0,0,0,1060067.52818472,4.57048484646037,1231373.18479329,5.30906978263246,"Oregon","Suzanne Bonamici","Democrat"
"4102","Oregon Health & Science University",89885.8991963229,156912.525644515,228750.361382829,1424580.0130859,230107.901942587,0.992111022097187,401696.065649959,1.73191398861146,585600.925140043,2.52482043196719,3646924.83349991,15.7237291441559,"Oregon","Cliff Bentz","Republican"
"4102","University of Oregon",60900.8156316978,3189.08574429229,18091.3905639258,901877.613192017,155906.088017146,0.672189642459378,8164.05950538827,0.0351993710427811,46313.95984365,0.199682799460386,2308806.68977156,9.95442809863003,"Oregon","Cliff Bentz","Republican"
"4102","Oregon State University",9100.9665658057,27477.9396290946,27196.4600389451,496851.622904763,23298.4744084626,0.100451453703021,70343.5254504823,0.303286355416035,69622.9376996995,0.300179538814325,1271940.15463619,5.48397441465274,"Oregon","Cliff Bentz","Republican"
"4102","Washington State University",28915.426372167,19026.0984394497,7867.86977768303,159118.784087587,74023.4915127475,0.319152541933297,48706.8120049913,0.209999589902933,20141.7466308686,0.0868412108757543,407344.087264222,1.75626545350792,"Oregon","Cliff Bentz","Republican"
"4102","Fred Hutchinson Cancer Center",282.480460950425,65144.9074984962,19639.4122797275,103567.394731954,723.149980033088,0.0031178636620623,166770.96319615,0.719033589702395,50276.8954361023,0.216769010094361,265132.530513802,1.14311983038675,"Oregon","Cliff Bentz","Republican"
"4103","Oregon Health & Science University",1826939.04473959,3189261.29984573,4649371.81966443,28954717.8315232,4676963.95453335,20.1647464084111,8164508.92760506,35.2013087282369,11902391.8583409,51.3172040259885,74124077.6486994,319.586219409409,"Oregon","Maxine Dexter","Democrat"
"4103","Portland State University",0,115700.050055715,0,709322.179819074,0,0,296192.12814263,1.27703339393379,0,0,1815864.78033683,7.82910733617375,"Oregon","Maxine Dexter","Democrat"
"4103","Convergent Genomics, Inc.",0,0,491548.280874569,523199.138003867,0,0,0,0,1258363.5990389,5.4254390478249,1339389.7932899,5.77478376704738,"Oregon","Maxine Dexter","Democrat"
"4103","Aronora, Inc.",0,0,0,489486.986219549,0,0,0,0,0,0,1253086.68472204,5.40268761333606,"Oregon","Maxine Dexter","Democrat"
"4103","Legacy Emanuel Hospital and Health Center",0,0,0,435948.965746292,0,0,0,0,0,0,1116029.35231051,4.81176444643565,"Oregon","Maxine Dexter","Democrat"
"4104","University of Oregon",1049823.11957811,54974.2381928374,311863.804816453,15546786.3531553,2687547.18611997,11.5873690701033,140734.049773664,0.606775346635696,798371.34033012,3.44218081943854,39799773.0640776,171.596860431547,"Oregon","Val T. Hoyle","Democrat"
"4104","Oregon State University",156884.68228523,473671.42790746,468819.214051812,8564849.50677476,401624.786650188,1.73160666895524,1212598.8554431,5.2281241961334,1200177.18797264,5.17456813349396,21926014.7373434,94.5340890423277,"Oregon","Val T. Hoyle","Democrat"
"4104","Oregon Health & Science University",149247.765687521,260539.684980842,379820.201409264,2365391.96800812,382074.280160053,1.64731459200916,666981.593550955,2.87569346776692,972339.715607715,4.19224607644265,6055403.43810079,26.1078930513387,"Oregon","Val T. Hoyle","Democrat"
"4104","Oregon Social Learning Center, Inc.",0,0,0,1776907.75786133,0,0,0,0,0,0,4548883.86012501,19.612528634484,"Oregon","Val T. Hoyle","Democrat"
"4104","Oregon Research Institute",672366.951979521,0,0,1226384.36599151,1721259.39706757,7.42121589611979,0,0,0,0,3139543.97693827,13.5361548107829,"Oregon","Val T. Hoyle","Democrat"
"4105","Oregon Health & Science University",860555.450608838,1502259.31341309,2190025.0437144,13638736.5098489,2203021.95355863,9.49833683935339,3845783.84233752,16.5811104546001,5606464.11190886,24.1722895800636,34915165.4652131,150.53685772611,"Oregon","Janelle S. Bynum","Democrat"
"4105","University of Oregon",91371.2500228941,4784.67731283578,27143.0350042457,1353112.99249871,233910.400058609,1.00850550599175,12248.7739208596,0.0528106314971026,69486.1696108691,0.299589862722134,3463969.2607967,14.9349155540939,"Oregon","Janelle S. Bynum","Democrat"
"4105","Oregon State University",13654.4426032517,41225.9452672622,40803.6333205153,745440.818646163,34955.3730643244,0.150710212929968,105538.419884191,0.45502926556582,104457.301300519,0.450368019020177,1908328.49573418,8.22776496772546,"Oregon","Janelle S. Bynum","Democrat"
"4105","Portland State University",0,54498.9768530306,0,334116.822254491,0,0,139517.380743758,0.601529673868167,0,0,855339.064971497,3.68779736299648,"Oregon","Janelle S. Bynum","Democrat"
"4105","Pdx Pharmaceuticals, Inc.",0,0,296199.36215458,315271.677241642,0,0,0,0,758270.367115724,3.26928533350797,807095.493738604,3.47979503729875,"Oregon","Janelle S. Bynum","Democrat"
"4106","Oregon Health & Science University",972170.322239318,1697103.79473462,2474073.40335093,15407693.7846784,2488756.02493265,10.73028028504,4344585.71452064,18.7316964668921,6333627.91257839,27.3074588438046,39443696.0887767,170.061633310145,"Oregon","Andrea Salinas","Democrat"
"4106","University of Oregon",46877.2062446223,2454.73609205925,13925.49242437,694202.572535092,120005.647986233,0.517404770005521,6284.12439567169,0.0270940242579382,35649.2606063873,0.153701911488621,1777158.58568984,7.66222544290307,"Oregon","Andrea Salinas","Democrat"
"4106","Oregon State University",7005.29019694498,21150.6041390343,20933.9407550677,382441.774519673,17933.5429041792,0.0773205328034678,54145.5465959278,0.233448713068097,53590.8883329732,0.231057302032105,979050.942770362,4.2211815557706,"Oregon","Andrea Salinas","Democrat"
"4106","Portland State University",0,61567.5466949157,0,377452.096232635,0,0,157612.919538984,0.679548652521105,0,0,966277.366355545,4.16610823648971,"Oregon","Andrea Salinas","Democrat"
"4106","Aronora, Inc.",0,0,0,260471.044447376,0,0,0,0,0,0,666805.873785281,2.87493585138411,"Oregon","Andrea Salinas","Democrat"
"4201","University of Pennsylvania",1799514.84929436,1564052.88742198,1599177.18750627,13917513.114507,4606758.01419355,19.8620532516798,4003975.39180026,17.2631538720564,4093893.60001606,17.6508365405133,35628833.5731378,153.613840263494,"Pennsylvania","Brian K. Fitzpatrick","Republican"
