state,funding_ics,raw_funding,econ_impact,jobs,pop_2024
GA,NIA,73658500.74889484,216342657.15773538,869.1703088369579,11204208
GA,NIAAA,7393062.571668546,21714191.641514916,87.23813834568881,11204208
GA,NIAID,177544852.33934847,521467647.71544325,2095.029257604312,11204208
GA,NIAMS,7473834.439443577,21951426.99548468,88.1912463854342,11204208
GA,NIBIB,27838828.660810493,81765527.44632164,328.4981781975636,11204208
GA,NICHD,21588643.645289373,63408085.73575862,254.7459950144146,11204208
GA,NIDA,18430386.47145516,54131956.8161101,217.4785603631708,11204208
GA,NIDCD,3934401.339670256,11555744.842688622,46.42593580810906,11204208
GA,NIDCR,7684512.98023537,22570211.72308033,90.67725316677733,11204208
GA,NIDDK,32161495.655880645,94461648.79298845,379.50564873939175,11204208
GA,NIEHS,14525846.81506006,42663918.83469706,171.40499241770868,11204208
GA,NIGMS,61744647.07395964,181350433.11273816,728.5868354727238,11204208
GA,NIH_tot,793837132.1763912,2331582000.439967,9367.27815968142,11204208
GA,NIMH,40306101.93845533,118383202.26965539,475.61200287377284,11204208
GA,NIMHD,18700626.65049607,54925680.25346057,220.66739447585357,11204208
GA,NINDS,51498324.44527701,151255920.7204548,607.6802284542695,11204208
GA,NINR,5524783.103219057,16226861.049551073,65.19244061798484,11204208
GA,NLM,832115.9678387874,2444010.9113723077,9.818968420497706,11204208
GA,OD,45647909.9933254,134072646.62254661,538.6453379212398,11204208
HI,FIC,7390.5377140875935,20908.46276834076,0.0672538931981971,1434952
HI,NCATS,24987.929390322515,70692.98764548513,0.22739015745193483,1434952
HI,NCCIH,548565.6453582858,1551939.0896418067,4.9919473727604,1434952
HI,NCI,16966894.14485381,48000793.480268575,154.3987367181697,1434952
HI,NEI,30682.266539182947,86802.75406212626,0.2792086255065648,1434952
HI,NHGRI,932784.5981873907,2638927.3414986595,8.488339843505255,1434952
HI,NHLBI,1688947.2575077303,4778176.124313473,15.369420043320343,1434952
HI,NIA,1486673.8059823795,4205927.244211019,13.52873163443965,1434952
HI,NIAAA,25713.120787599077,72744.61608125854,0.23398939916715156,1434952
HI,NIAID,3352058.2766919388,9483259.322515273,30.50373031789664,1434952
HI,NIAMS,17458.510729006342,49391.61880904792,0.1588724476339577,1434952
HI,NIBIB,1005976.7823657291,2845994.2853435245,9.154388719528132,1434952
HI,NICHD,1378570.4257054443,3900093.5431876653,12.544990873919541,1434952
